Text(1) | Tiempo: 36097 ms | TextId: So01.Do01.V2017-06-29.Se02.T01 | No. Concepts: 18 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(355) | Tiempo: 60372 ms | TextId: So01.Do1037.V2017-06-29.Se02.T02 | No. Concepts: 2 | Doc: So01.Do1037 - 2017-06-29 | Section: Diagnosis 
Text(356) | Tiempo: 233631 ms | TextId: So01.Do1037.V2017-06-29.Se02.T03 | No. Concepts: 6 | Doc: So01.Do1037 - 2017-06-29 | Section: Diagnosis 
Text(357) | Tiempo: 28 ms | TextId: So01.Do1037.V2017-06-29.Se02.T04 | No. Concepts: 1 | Doc: So01.Do1037 - 2017-06-29 | Section: Diagnosis 
Text(358) | Tiempo: 261145 ms | TextId: So01.Do1038.V2017-06-29.Se04.T01 | No. Concepts: 4 | Doc: So01.Do1038 - 2017-06-29 | Section: Signs and symptoms 
Text(359) | Tiempo: 556635 ms | TextId: So01.Do1038.V2017-06-29.Se04.T02 | No. Concepts: 10 | Doc: So01.Do1038 - 2017-06-29 | Section: Signs and symptoms 
Text(360) | Tiempo: 83120 ms | TextId: So01.Do1038.V2017-06-29.Se04.T03 | No. Concepts: 3 | Doc: So01.Do1038 - 2017-06-29 | Section: Signs and symptoms 
Text(361) | Tiempo: 67148 ms | TextId: So01.Do1038.V2017-06-29.Se04.T04 | No. Concepts: 2 | Doc: So01.Do1038 - 2017-06-29 | Section: Signs and symptoms 
Text(362) | Tiempo: 60654 ms | TextId: So01.Do1039.V2017-06-29.Se04.T01 | No. Concepts: 2 | Doc: So01.Do1039 - 2017-06-29 | Section: Signs and symptoms 
Text(363) | Tiempo: 121030 ms | TextId: So01.Do1039.V2017-06-29.Se04.T02 | No. Concepts: 3 | Doc: So01.Do1039 - 2017-06-29 | Section: Signs and symptoms 
Text(364) | Tiempo: 266609 ms | TextId: So01.Do104.V2017-06-29.Se02.T01 | No. Concepts: 5 | Doc: So01.Do104 - 2017-06-29 | Section: Diagnosis 
Text(365) | Tiempo: 267613 ms | TextId: So01.Do104.V2017-06-29.Se02.T02 | No. Concepts: 5 | Doc: So01.Do104 - 2017-06-29 | Section: Diagnosis 
Text(366) | Tiempo: 195290 ms | TextId: So01.Do104.V2017-06-29.Se02.T03 | No. Concepts: 4 | Doc: So01.Do104 - 2017-06-29 | Section: Diagnosis 
Text(367) | Tiempo: 804142 ms | TextId: So01.Do104.V2017-06-29.Se02.T04 | No. Concepts: 14 | Doc: So01.Do104 - 2017-06-29 | Section: Diagnosis 
Text(368) | Tiempo: 284201 ms | TextId: So01.Do104.V2017-06-29.Se02.T05 | No. Concepts: 6 | Doc: So01.Do104 - 2017-06-29 | Section: Diagnosis 
Text(369) | Tiempo: 283967 ms | TextId: So01.Do1043.V2017-06-29.Se02.T01 | No. Concepts: 6 | Doc: So01.Do1043 - 2017-06-29 | Section: Diagnosis 
Text(370) | Tiempo: 4174 ms | TextId: So01.Do1043.V2017-06-29.Se02.T02 | No. Concepts: 1 | Doc: So01.Do1043 - 2017-06-29 | Section: Diagnosis 
Text(371) | Tiempo: 359887 ms | TextId: So01.Do1043.V2017-06-29.Se02.T03 | No. Concepts: 6 | Doc: So01.Do1043 - 2017-06-29 | Section: Diagnosis 
Text(372) | Tiempo: 866414 ms | TextId: So01.Do1043.V2017-06-29.Se02.T04 | No. Concepts: 15 | Doc: So01.Do1043 - 2017-06-29 | Section: Diagnosis 
Text(373) | Tiempo: 80374 ms | TextId: So01.Do1043.V2017-06-29.Se02.T05 | No. Concepts: 2 | Doc: So01.Do1043 - 2017-06-29 | Section: Diagnosis 
Text(374) | Tiempo: 643775 ms | TextId: So01.Do1043.V2017-06-29.Se04.T01 | No. Concepts: 13 | Doc: So01.Do1043 - 2017-06-29 | Section: Signs and symptoms 
Text(375) | Tiempo: 80366 ms | TextId: So01.Do1043.V2017-06-29.Se04.T02 | No. Concepts: 2 | Doc: So01.Do1043 - 2017-06-29 | Section: Signs and symptoms 
Text(376) | Tiempo: 1801314 ms | TextId: So01.Do1043.V2017-06-29.Se04.T03 | No. Concepts: 31 | Doc: So01.Do1043 - 2017-06-29 | Section: Signs and symptoms 
Text(377) | Tiempo: 60434 ms | TextId: So01.Do1043.V2017-06-29.Se04.T04 | No. Concepts: 2 | Doc: So01.Do1043 - 2017-06-29 | Section: Signs and symptoms 
Text(378) | Tiempo: 61007 ms | TextId: So01.Do1043.V2017-06-29.Se04.T05 | No. Concepts: 2 | Doc: So01.Do1043 - 2017-06-29 | Section: Signs and symptoms 
Text(379) | Tiempo: 184776 ms | TextId: So01.Do1044.V2017-06-29.Se02.T01 | No. Concepts: 4 | Doc: So01.Do1044 - 2017-06-29 | Section: Diagnosis 
Text(380) | Tiempo: 429726 ms | TextId: So01.Do1044.V2017-06-29.Se02.T02 | No. Concepts: 7 | Doc: So01.Do1044 - 2017-06-29 | Section: Diagnosis 
Text(381) | Tiempo: 60675 ms | TextId: So01.Do1044.V2017-06-29.Se02.T03 | No. Concepts: 2 | Doc: So01.Do1044 - 2017-06-29 | Section: Diagnosis 
Text(382) | Tiempo: 375185 ms | TextId: So01.Do1044.V2017-06-29.Se02.T04 | No. Concepts: 7 | Doc: So01.Do1044 - 2017-06-29 | Section: Diagnosis 
Text(383) | Tiempo: 222491 ms | TextId: So01.Do1044.V2017-06-29.Se02.T05 | No. Concepts: 5 | Doc: So01.Do1044 - 2017-06-29 | Section: Diagnosis 
Text(384) | Tiempo: 60445 ms | TextId: So01.Do1044.V2017-06-29.Se04.T01 | No. Concepts: 2 | Doc: So01.Do1044 - 2017-06-29 | Section: Signs and symptoms 
Text(385) | Tiempo: 596007 ms | TextId: So01.Do1044.V2017-06-29.Se04.T02 | No. Concepts: 11 | Doc: So01.Do1044 - 2017-06-29 | Section: Signs and symptoms 
Text(386) | Tiempo: 9069 ms | TextId: So01.Do1044.V2017-06-29.Se04.T03 | No. Concepts: 2 | Doc: So01.Do1044 - 2017-06-29 | Section: Signs and symptoms 
Text(387) | Tiempo: 160842 ms | TextId: So01.Do1044.V2017-06-29.Se04.T04 | No. Concepts: 3 | Doc: So01.Do1044 - 2017-06-29 | Section: Signs and symptoms 
Text(388) | Tiempo: 60737 ms | TextId: So01.Do1044.V2017-06-29.Se04.T05 | No. Concepts: 2 | Doc: So01.Do1044 - 2017-06-29 | Section: Signs and symptoms 
Text(389) | Tiempo: 454179 ms | TextId: So01.Do1044.V2017-06-29.Se04.T06 | No. Concepts: 8 | Doc: So01.Do1044 - 2017-06-29 | Section: Signs and symptoms 
Text(390) | Tiempo: 243160 ms | TextId: So01.Do1044.V2017-06-29.Se04.T07 | No. Concepts: 5 | Doc: So01.Do1044 - 2017-06-29 | Section: Signs and symptoms 
Text(391) | Tiempo: 292886 ms | TextId: So01.Do1046.V2017-06-29.Se02.T01 | No. Concepts: 6 | Doc: So01.Do1046 - 2017-06-29 | Section: Diagnosis 
Text(392) | Tiempo: 60334 ms | TextId: So01.Do1046.V2017-06-29.Se02.T02 | No. Concepts: 2 | Doc: So01.Do1046 - 2017-06-29 | Section: Diagnosis 
Text(393) | Tiempo: 121150 ms | TextId: So01.Do1046.V2017-06-29.Se04.T01 | No. Concepts: 3 | Doc: So01.Do1046 - 2017-06-29 | Section: Signs and symptoms 
Text(394) | Tiempo: 60340 ms | TextId: So01.Do1046.V2017-06-29.Se04.T02 | No. Concepts: 2 | Doc: So01.Do1046 - 2017-06-29 | Section: Signs and symptoms 
Text(395) | Tiempo: 271503 ms | TextId: So01.Do1046.V2017-06-29.Se04.T03 | No. Concepts: 5 | Doc: So01.Do1046 - 2017-06-29 | Section: Signs and symptoms 
Text(396) | Tiempo: 131157 ms | TextId: So01.Do1046.V2017-06-29.Se04.T04 | No. Concepts: 3 | Doc: So01.Do1046 - 2017-06-29 | Section: Signs and symptoms 
Text(397) | Tiempo: 114092 ms | TextId: So01.Do1046.V2017-06-29.Se04.T05 | No. Concepts: 3 | Doc: So01.Do1046 - 2017-06-29 | Section: Signs and symptoms 
Text(398) | Tiempo: 109849 ms | TextId: So01.Do1046.V2017-06-29.Se04.T06 | No. Concepts: 4 | Doc: So01.Do1046 - 2017-06-29 | Section: Signs and symptoms 
Text(399) | Tiempo: 28 ms | TextId: So01.Do1046.V2017-06-29.Se04.T07 | No. Concepts: 1 | Doc: So01.Do1046 - 2017-06-29 | Section: Signs and symptoms 
Text(400) | Tiempo: 507557 ms | TextId: So01.Do1046.V2017-06-29.Se04.T08 | No. Concepts: 8 | Doc: So01.Do1046 - 2017-06-29 | Section: Signs and symptoms 
Text(401) | Tiempo: 229727 ms | TextId: So01.Do1047.V2017-06-29.Se01.T01 | No. Concepts: 5 | Doc: So01.Do1047 - 2017-06-29 | Section: Cause 
Text(402) | Tiempo: 201108 ms | TextId: So01.Do1047.V2017-06-29.Se04.T01 | No. Concepts: 4 | Doc: So01.Do1047 - 2017-06-29 | Section: Signs and symptoms 
Text(403) | Tiempo: 72060 ms | TextId: So01.Do1047.V2017-06-29.Se04.T02 | No. Concepts: 3 | Doc: So01.Do1047 - 2017-06-29 | Section: Signs and symptoms 
Text(404) | Tiempo: 745186 ms | TextId: So01.Do1047.V2017-06-29.Se04.T03 | No. Concepts: 12 | Doc: So01.Do1047 - 2017-06-29 | Section: Signs and symptoms 
Text(405) | Tiempo: 235061 ms | TextId: So01.Do1048.V2017-06-29.Se02.T01 | No. Concepts: 5 | Doc: So01.Do1048 - 2017-06-29 | Section: Diagnosis 
Text(406) | Tiempo: 606417 ms | TextId: So01.Do1048.V2017-06-29.Se02.T02 | No. Concepts: 11 | Doc: So01.Do1048 - 2017-06-29 | Section: Diagnosis 
Text(407) | Tiempo: 454921 ms | TextId: So01.Do1048.V2017-06-29.Se04.T01 | No. Concepts: 9 | Doc: So01.Do1048 - 2017-06-29 | Section: Signs and symptoms 
Text(408) | Tiempo: 865574 ms | TextId: So01.Do1048.V2017-06-29.Se04.T02 | No. Concepts: 15 | Doc: So01.Do1048 - 2017-06-29 | Section: Signs and symptoms 
Text(409) | Tiempo: 383482 ms | TextId: So01.Do1048.V2017-06-29.Se04.T03 | No. Concepts: 9 | Doc: So01.Do1048 - 2017-06-29 | Section: Signs and symptoms 
Text(410) | Tiempo: 82402 ms | TextId: So01.Do1048.V2017-06-29.Se04.T04 | No. Concepts: 3 | Doc: So01.Do1048 - 2017-06-29 | Section: Signs and symptoms 
Text(411) | Tiempo: 84704 ms | TextId: So01.Do1048.V2017-06-29.Se04.T05 | No. Concepts: 3 | Doc: So01.Do1048 - 2017-06-29 | Section: Signs and symptoms 
Text(412) | Tiempo: 468537 ms | TextId: So01.Do1048.V2017-06-29.Se04.T06 | No. Concepts: 9 | Doc: So01.Do1048 - 2017-06-29 | Section: Signs and symptoms 
Text(413) | Tiempo: 294331 ms | TextId: So01.Do1049.V2017-06-29.Se04.T01 | No. Concepts: 6 | Doc: So01.Do1049 - 2017-06-29 | Section: Signs and symptoms 
Text(414) | Tiempo: 120482 ms | TextId: So01.Do1049.V2017-06-29.Se04.T02 | No. Concepts: 2 | Doc: So01.Do1049 - 2017-06-29 | Section: Signs and symptoms 
Text(415) | Tiempo: 524480 ms | TextId: So01.Do1049.V2017-06-29.Se04.T03 | No. Concepts: 10 | Doc: So01.Do1049 - 2017-06-29 | Section: Signs and symptoms 
Text(416) | Tiempo: 60673 ms | TextId: So01.Do1049.V2017-06-29.Se04.T04 | No. Concepts: 2 | Doc: So01.Do1049 - 2017-06-29 | Section: Signs and symptoms 
Text(417) | Tiempo: 80721 ms | TextId: So01.Do1049.V2017-06-29.Se04.T05 | No. Concepts: 2 | Doc: So01.Do1049 - 2017-06-29 | Section: Signs and symptoms 
Text(418) | Tiempo: 52818 ms | TextId: So01.Do1049.V2017-06-29.Se04.T06 | No. Concepts: 2 | Doc: So01.Do1049 - 2017-06-29 | Section: Signs and symptoms 
Text(419) | Tiempo: 61713 ms | TextId: So01.Do1049.V2017-06-29.Se04.T07 | No. Concepts: 2 | Doc: So01.Do1049 - 2017-06-29 | Section: Signs and symptoms 
Text(420) | Tiempo: 39 ms | TextId: So01.Do1049.V2017-06-29.Se04.T08 | No. Concepts: 1 | Doc: So01.Do1049 - 2017-06-29 | Section: Signs and symptoms 
Text(421) | Tiempo: 334413 ms | TextId: So01.Do1049.V2017-06-29.Se04.T09 | No. Concepts: 7 | Doc: So01.Do1049 - 2017-06-29 | Section: Signs and symptoms 
Text(422) | Tiempo: 35 ms | TextId: So01.Do1049.V2017-06-29.Se04.T10 | No. Concepts: 1 | Doc: So01.Do1049 - 2017-06-29 | Section: Signs and symptoms 
Text(423) | Tiempo: 288607 ms | TextId: So01.Do105.V2017-06-29.Se02.T01 | No. Concepts: 6 | Doc: So01.Do105 - 2017-06-29 | Section: Diagnosis 
Text(424) | Tiempo: 370243 ms | TextId: So01.Do105.V2017-06-29.Se02.T02 | No. Concepts: 21 | Doc: So01.Do105 - 2017-06-29 | Section: Diagnosis 
Text(425) | Tiempo: 17519 ms | TextId: So01.Do105.V2017-06-29.Se02.T03 | No. Concepts: 10 | Doc: So01.Do105 - 2017-06-29 | Section: Diagnosis 
Text(426) | Tiempo: 3761 ms | TextId: So01.Do105.V2017-06-29.Se02.T04 | No. Concepts: 4 | Doc: So01.Do105 - 2017-06-29 | Section: Diagnosis 
Text(427) | Tiempo: 14806 ms | TextId: So01.Do105.V2017-06-29.Se02.T05 | No. Concepts: 9 | Doc: So01.Do105 - 2017-06-29 | Section: Diagnosis 
Text(428) | Tiempo: 12607 ms | TextId: So01.Do105.V2017-06-29.Se02.T06 | No. Concepts: 5 | Doc: So01.Do105 - 2017-06-29 | Section: Diagnosis 
Text(429) | Tiempo: 5319 ms | TextId: So01.Do1050.V2017-06-29.Se01.T01 | No. Concepts: 2 | Doc: So01.Do1050 - 2017-06-29 | Section: Cause 
Text(430) | Tiempo: 100 ms | TextId: So01.Do1050.V2017-06-29.Se01.T02 | No. Concepts: 1 | Doc: So01.Do1050 - 2017-06-29 | Section: Cause 
Text(431) | Tiempo: 21 ms | TextId: So01.Do1050.V2017-06-29.Se01.T03 | No. Concepts: 1 | Doc: So01.Do1050 - 2017-06-29 | Section: Cause 
Text(432) | Tiempo: 5632 ms | TextId: So01.Do1050.V2017-06-29.Se01.T04 | No. Concepts: 5 | Doc: So01.Do1050 - 2017-06-29 | Section: Cause 
Text(433) | Tiempo: 9835 ms | TextId: So01.Do1050.V2017-06-29.Se01.T05 | No. Concepts: 9 | Doc: So01.Do1050 - 2017-06-29 | Section: Cause 
Text(434) | Tiempo: 7089 ms | TextId: So01.Do1050.V2017-06-29.Se02.T01 | No. Concepts: 6 | Doc: So01.Do1050 - 2017-06-29 | Section: Diagnosis 
Text(435) | Tiempo: 5437 ms | TextId: So01.Do1050.V2017-06-29.Se02.T02 | No. Concepts: 5 | Doc: So01.Do1050 - 2017-06-29 | Section: Diagnosis 
Text(436) | Tiempo: 3461 ms | TextId: So01.Do1050.V2017-06-29.Se02.T03 | No. Concepts: 4 | Doc: So01.Do1050 - 2017-06-29 | Section: Diagnosis 
Text(437) | Tiempo: 12736 ms | TextId: So01.Do1050.V2017-06-29.Se02.T04 | No. Concepts: 9 | Doc: So01.Do1050 - 2017-06-29 | Section: Diagnosis 
Text(438) | Tiempo: 12068 ms | TextId: So01.Do1050.V2017-06-29.Se02.T05 | No. Concepts: 9 | Doc: So01.Do1050 - 2017-06-29 | Section: Diagnosis 
Text(439) | Tiempo: 2422 ms | TextId: So01.Do1050.V2017-06-29.Se02.T06 | No. Concepts: 2 | Doc: So01.Do1050 - 2017-06-29 | Section: Diagnosis 
Text(440) | Tiempo: 5769 ms | TextId: So01.Do1050.V2017-06-29.Se02.T07 | No. Concepts: 3 | Doc: So01.Do1050 - 2017-06-29 | Section: Diagnosis 
Text(441) | Tiempo: 8230 ms | TextId: So01.Do1050.V2017-06-29.Se02.T08 | No. Concepts: 5 | Doc: So01.Do1050 - 2017-06-29 | Section: Diagnosis 
Text(442) | Tiempo: 7950 ms | TextId: So01.Do1050.V2017-06-29.Se04.T01 | No. Concepts: 9 | Doc: So01.Do1050 - 2017-06-29 | Section: Signs and symptoms 
Text(443) | Tiempo: 26 ms | TextId: So01.Do1050.V2017-06-29.Se04.T02 | No. Concepts: 1 | Doc: So01.Do1050 - 2017-06-29 | Section: Signs and symptoms 
Text(444) | Tiempo: 28418 ms | TextId: So01.Do1051.V2017-06-29.Se02.T01 | No. Concepts: 19 | Doc: So01.Do1051 - 2017-06-29 | Section: Diagnosis 
Text(445) | Tiempo: 1922 ms | TextId: So01.Do1051.V2017-06-29.Se02.T02 | No. Concepts: 2 | Doc: So01.Do1051 - 2017-06-29 | Section: Diagnosis 
Text(446) | Tiempo: 10204 ms | TextId: So01.Do1051.V2017-06-29.Se02.T03 | No. Concepts: 5 | Doc: So01.Do1051 - 2017-06-29 | Section: Diagnosis 
Text(447) | Tiempo: 13363 ms | TextId: So01.Do1051.V2017-06-29.Se04.T01 | No. Concepts: 11 | Doc: So01.Do1051 - 2017-06-29 | Section: Signs and symptoms 
Text(448) | Tiempo: 52 ms | TextId: So01.Do1052.V2017-06-29.Se01.T01 | No. Concepts: 1 | Doc: So01.Do1052 - 2017-06-29 | Section: Cause 
Text(449) | Tiempo: 1140 ms | TextId: So01.Do1052.V2017-06-29.Se01.T02 | No. Concepts: 2 | Doc: So01.Do1052 - 2017-06-29 | Section: Cause 
Text(450) | Tiempo: 8057 ms | TextId: So01.Do1052.V2017-06-29.Se01.T03 | No. Concepts: 5 | Doc: So01.Do1052 - 2017-06-29 | Section: Cause 
Text(451) | Tiempo: 6863 ms | TextId: So01.Do1052.V2017-06-29.Se04.T01 | No. Concepts: 6 | Doc: So01.Do1052 - 2017-06-29 | Section: Signs and symptoms 
Text(452) | Tiempo: 2434 ms | TextId: So01.Do1052.V2017-06-29.Se04.T02 | No. Concepts: 3 | Doc: So01.Do1052 - 2017-06-29 | Section: Signs and symptoms 
Text(453) | Tiempo: 35857 ms | TextId: So01.Do1052.V2017-06-29.Se04.T03 | No. Concepts: 14 | Doc: So01.Do1052 - 2017-06-29 | Section: Signs and symptoms 
Text(454) | Tiempo: 18480 ms | TextId: So01.Do1052.V2017-06-29.Se04.T04 | No. Concepts: 9 | Doc: So01.Do1052 - 2017-06-29 | Section: Signs and symptoms 
Text(455) | Tiempo: 1999 ms | TextId: So01.Do1052.V2017-06-29.Se04.T05 | No. Concepts: 3 | Doc: So01.Do1052 - 2017-06-29 | Section: Signs and symptoms 
Text(456) | Tiempo: 19814 ms | TextId: So01.Do1052.V2017-06-29.Se04.T06 | No. Concepts: 14 | Doc: So01.Do1052 - 2017-06-29 | Section: Signs and symptoms 
Text(457) | Tiempo: 8547 ms | TextId: So01.Do1052.V2017-06-29.Se04.T07 | No. Concepts: 9 | Doc: So01.Do1052 - 2017-06-29 | Section: Signs and symptoms 
Text(458) | Tiempo: 11600 ms | TextId: So01.Do1052.V2017-06-29.Se04.T08 | No. Concepts: 10 | Doc: So01.Do1052 - 2017-06-29 | Section: Signs and symptoms 
Text(459) | Tiempo: 23 ms | TextId: So01.Do1052.V2017-06-29.Se04.T09 | No. Concepts: 1 | Doc: So01.Do1052 - 2017-06-29 | Section: Signs and symptoms 
Text(460) | Tiempo: 1466 ms | TextId: So01.Do1052.V2017-06-29.Se04.T10 | No. Concepts: 2 | Doc: So01.Do1052 - 2017-06-29 | Section: Signs and symptoms 
Text(461) | Tiempo: 13088 ms | TextId: So01.Do1054.V2017-06-29.Se01.T01 | No. Concepts: 8 | Doc: So01.Do1054 - 2017-06-29 | Section: Cause 
Text(462) | Tiempo: 87378 ms | TextId: So01.Do1054.V2017-06-29.Se04.T01 | No. Concepts: 34 | Doc: So01.Do1054 - 2017-06-29 | Section: Signs and symptoms 
Text(463) | Tiempo: 5161 ms | TextId: So01.Do1054.V2017-06-29.Se04.T02 | No. Concepts: 3 | Doc: So01.Do1054 - 2017-06-29 | Section: Signs and symptoms 
Text(464) | Tiempo: 18535 ms | TextId: So01.Do1054.V2017-06-29.Se04.T03 | No. Concepts: 6 | Doc: So01.Do1054 - 2017-06-29 | Section: Signs and symptoms 
Text(465) | Tiempo: 17660 ms | TextId: So01.Do1055.V2017-06-29.Se02.T01 | No. Concepts: 11 | Doc: So01.Do1055 - 2017-06-29 | Section: Diagnosis 
Text(466) | Tiempo: 53 ms | TextId: So01.Do1055.V2017-06-29.Se02.T02 | No. Concepts: 1 | Doc: So01.Do1055 - 2017-06-29 | Section: Diagnosis 
Text(467) | Tiempo: 1314 ms | TextId: So01.Do1055.V2017-06-29.Se02.T03 | No. Concepts: 2 | Doc: So01.Do1055 - 2017-06-29 | Section: Diagnosis 
Text(468) | Tiempo: 984 ms | TextId: So01.Do1055.V2017-06-29.Se02.T04 | No. Concepts: 2 | Doc: So01.Do1055 - 2017-06-29 | Section: Diagnosis 
Text(469) | Tiempo: 14180 ms | TextId: So01.Do1055.V2017-06-29.Se02.T05 | No. Concepts: 9 | Doc: So01.Do1055 - 2017-06-29 | Section: Diagnosis 
Text(470) | Tiempo: 1168 ms | TextId: So01.Do1055.V2017-06-29.Se02.T06 | No. Concepts: 2 | Doc: So01.Do1055 - 2017-06-29 | Section: Diagnosis 
Text(471) | Tiempo: 9850 ms | TextId: So01.Do1055.V2017-06-29.Se02.T07 | No. Concepts: 7 | Doc: So01.Do1055 - 2017-06-29 | Section: Diagnosis 
Text(472) | Tiempo: 2056 ms | TextId: So01.Do1055.V2017-06-29.Se02.T08 | No. Concepts: 3 | Doc: So01.Do1055 - 2017-06-29 | Section: Diagnosis 
Text(473) | Tiempo: 1470 ms | TextId: So01.Do1055.V2017-06-29.Se02.T09 | No. Concepts: 2 | Doc: So01.Do1055 - 2017-06-29 | Section: Diagnosis 
Text(474) | Tiempo: 180 ms | TextId: So01.Do1055.V2017-06-29.Se02.T10 | No. Concepts: 1 | Doc: So01.Do1055 - 2017-06-29 | Section: Diagnosis 
Text(475) | Tiempo: 9076 ms | TextId: So01.Do1057.V2017-06-29.Se02.T01 | No. Concepts: 6 | Doc: So01.Do1057 - 2017-06-29 | Section: Diagnosis 
Text(476) | Tiempo: 148 ms | TextId: So01.Do1057.V2017-06-29.Se02.T02 | No. Concepts: 1 | Doc: So01.Do1057 - 2017-06-29 | Section: Diagnosis 
Text(477) | Tiempo: 35 ms | TextId: So01.Do1057.V2017-06-29.Se02.T03 | No. Concepts: 1 | Doc: So01.Do1057 - 2017-06-29 | Section: Diagnosis 
Text(478) | Tiempo: 2555 ms | TextId: So01.Do1057.V2017-06-29.Se02.T04 | No. Concepts: 3 | Doc: So01.Do1057 - 2017-06-29 | Section: Diagnosis 
Text(479) | Tiempo: 206 ms | TextId: So01.Do1057.V2017-06-29.Se02.T05 | No. Concepts: 1 | Doc: So01.Do1057 - 2017-06-29 | Section: Diagnosis 
Text(480) | Tiempo: 34096 ms | TextId: So01.Do1057.V2017-06-29.Se02.T06 | No. Concepts: 23 | Doc: So01.Do1057 - 2017-06-29 | Section: Diagnosis 
Text(481) | Tiempo: 5741 ms | TextId: So01.Do1057.V2017-06-29.Se02.T08 | No. Concepts: 4 | Doc: So01.Do1057 - 2017-06-29 | Section: Diagnosis 
Text(482) | Tiempo: 12670 ms | TextId: So01.Do1057.V2017-06-29.Se02.T09 | No. Concepts: 5 | Doc: So01.Do1057 - 2017-06-29 | Section: Diagnosis 
Text(483) | Tiempo: 16516 ms | TextId: So01.Do1057.V2017-06-29.Se02.T10 | No. Concepts: 14 | Doc: So01.Do1057 - 2017-06-29 | Section: Diagnosis 
Text(484) | Tiempo: 702 ms | TextId: So01.Do1057.V2017-06-29.Se04.T01 | No. Concepts: 1 | Doc: So01.Do1057 - 2017-06-29 | Section: Signs and symptoms 
Text(485) | Tiempo: 6228 ms | TextId: So01.Do1058.V2017-06-29.Se02.T01 | No. Concepts: 6 | Doc: So01.Do1058 - 2017-06-29 | Section: Diagnosis 
Text(486) | Tiempo: 140 ms | TextId: So01.Do1058.V2017-06-29.Se02.T02 | No. Concepts: 1 | Doc: So01.Do1058 - 2017-06-29 | Section: Diagnosis 
Text(487) | Tiempo: 12375 ms | TextId: So01.Do1058.V2017-06-29.Se04.T01 | No. Concepts: 10 | Doc: So01.Do1058 - 2017-06-29 | Section: Signs and symptoms 
Text(488) | Tiempo: 15025 ms | TextId: So01.Do1059.V2017-06-29.Se02.T01 | No. Concepts: 11 | Doc: So01.Do1059 - 2017-06-29 | Section: Diagnosis 
Text(489) | Tiempo: 19349 ms | TextId: So01.Do1059.V2017-06-29.Se02.T02 | No. Concepts: 13 | Doc: So01.Do1059 - 2017-06-29 | Section: Diagnosis 
Text(490) | Tiempo: 23444 ms | TextId: So01.Do1059.V2017-06-29.Se02.T03 | No. Concepts: 10 | Doc: So01.Do1059 - 2017-06-29 | Section: Diagnosis 
Text(491) | Tiempo: 23 ms | TextId: So01.Do1059.V2017-06-29.Se02.T04 | No. Concepts: 1 | Doc: So01.Do1059 - 2017-06-29 | Section: Diagnosis 
Text(492) | Tiempo: 614 ms | TextId: So01.Do1059.V2017-06-29.Se02.T05 | No. Concepts: 1 | Doc: So01.Do1059 - 2017-06-29 | Section: Diagnosis 
Text(493) | Tiempo: 3870 ms | TextId: So01.Do1059.V2017-06-29.Se02.T06 | No. Concepts: 2 | Doc: So01.Do1059 - 2017-06-29 | Section: Diagnosis 
Text(494) | Tiempo: 899 ms | TextId: So01.Do1059.V2017-06-29.Se02.T07 | No. Concepts: 1 | Doc: So01.Do1059 - 2017-06-29 | Section: Diagnosis 
Text(495) | Tiempo: 7128 ms | TextId: So01.Do1059.V2017-06-29.Se02.T08 | No. Concepts: 4 | Doc: So01.Do1059 - 2017-06-29 | Section: Diagnosis 
Text(496) | Tiempo: 539 ms | TextId: So01.Do1059.V2017-06-29.Se02.T09 | No. Concepts: 1 | Doc: So01.Do1059 - 2017-06-29 | Section: Diagnosis 
Text(497) | Tiempo: 236 ms | TextId: So01.Do1059.V2017-06-29.Se02.T10 | No. Concepts: 1 | Doc: So01.Do1059 - 2017-06-29 | Section: Diagnosis 
Text(498) | Tiempo: 3244 ms | TextId: So01.Do1059.V2017-06-29.Se04.T01 | No. Concepts: 3 | Doc: So01.Do1059 - 2017-06-29 | Section: Signs and symptoms 
Text(499) | Tiempo: 7062 ms | TextId: So01.Do1059.V2017-06-29.Se04.T02 | No. Concepts: 6 | Doc: So01.Do1059 - 2017-06-29 | Section: Signs and symptoms 
Text(500) | Tiempo: 23 ms | TextId: So01.Do1059.V2017-06-29.Se04.T03 | No. Concepts: 1 | Doc: So01.Do1059 - 2017-06-29 | Section: Signs and symptoms 
Text(501) | Tiempo: 2768 ms | TextId: So01.Do1059.V2017-06-29.Se04.T04 | No. Concepts: 3 | Doc: So01.Do1059 - 2017-06-29 | Section: Signs and symptoms 
Text(502) | Tiempo: 1242 ms | TextId: So01.Do1059.V2017-06-29.Se04.T05 | No. Concepts: 2 | Doc: So01.Do1059 - 2017-06-29 | Section: Signs and symptoms 
Text(503) | Tiempo: 78 ms | TextId: So01.Do1059.V2017-06-29.Se04.T06 | No. Concepts: 1 | Doc: So01.Do1059 - 2017-06-29 | Section: Signs and symptoms 
Text(504) | Tiempo: 1660 ms | TextId: So01.Do1059.V2017-06-29.Se04.T07 | No. Concepts: 2 | Doc: So01.Do1059 - 2017-06-29 | Section: Signs and symptoms 
Text(505) | Tiempo: 2209 ms | TextId: So01.Do1059.V2017-06-29.Se04.T08 | No. Concepts: 3 | Doc: So01.Do1059 - 2017-06-29 | Section: Signs and symptoms 
Text(506) | Tiempo: 204 ms | TextId: So01.Do1059.V2017-06-29.Se04.T09 | No. Concepts: 1 | Doc: So01.Do1059 - 2017-06-29 | Section: Signs and symptoms 
